movie_id,director_id
83533,2710
1511417,147021
1084242,1318201
1084242,76595
1228246,2103746
982843,1293082
1131759,1293082
1512623,1234359
1247002,150150
1439112,98537
425274,91268
755898,1634181
1137179,1294772
1311031,1283010
1223601,145228
1491902,65615
76600,2710
1336189,2582846
1242898,568322
1419406,1452270
1195518,229180
19995,2710
533533,20307
1196067,37948
812583,67367
1206083,2156380
1206083,3229005
798645,11090
1234731,1211000
967941,54507
1368166,116805
1013446,129938
1013446,129937
1103437,2281194
1317288,129561
1054867,4762
1387382,582827
1015539,2188937
1015539,2188938
1218925,1286723
1214931,20204
1589891,567536
1259102,1864582
1062722,10828
756397,1214352
756397,1763090
1180831,87877
1354700,4933702
269149,76595
269149,165787
1309129,1628473
7451,18878
1033462,79153
803796,3003169
803796,1453550
991494,70652
575265,9033
1083637,1752058
1194963,2441956
1539104,2784807
980477,2367353
1246049,59
772,10965
701387,122423
1291608,2152816
617126,1212522
1149167,17211
